路径,年化收益,5年累计,最大回撤
738,16.84%,117.74%,-19.77%
739,9.13%,54.78%,-31.69%
740,17.43%,123.29%,-18.84%
741,25.05%,205.79%,-29.82%
742,37.14%,385.09%,-10.65%
743,27.64%,238.75%,-15.07%
744,30.30%,275.53%,-12.33%
745,26.01%,217.67%,-22.50%
746,14.37%,95.70%,-20.97%
747,19.12%,139.84%,-24.58%
748,25.35%,209.47%,-19.02%
749,41.46%,466.54%,-10.14%
750,32.03%,301.20%,-8.16%
751,37.23%,386.74%,-11.92%
752,25.36%,209.54%,-21.77%
753,18.21%,130.87%,-22.10%
754,49.31%,642.09%,-15.58%
755,23.33%,185.29%,-27.87%
756,11.26%,70.53%,-33.54%
757,31.30%,290.26%,-23.83%
758,16.57%,115.20%,-12.14%
759,32.63%,310.34%,-20.27%
760,29.09%,258.43%,-14.13%
761,32.92%,314.87%,-12.16%
762,28.20%,246.25%,-19.45%
763,16.18%,111.64%,-22.52%
764,33.71%,327.40%,-9.89%
765,23.94%,192.50%,-19.59%
766,14.90%,100.24%,-27.61%
767,28.45%,249.61%,-13.20%
768,16.46%,114.26%,-22.08%
769,17.98%,128.60%,-26.48%
770,22.00%,170.31%,-21.48%
771,6.74%,38.55%,-16.81%
772,18.28%,131.50%,-25.10%
773,24.69%,201.37%,-8.97%
