路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
420,539.2%,44.9%,-10.6%,127.8
421,483.1%,42.3%,-22.1%,116.6
422,504.3%,43.3%,-10.3%,120.9
423,1678.3%,77.8%,-10.3%,355.7
424,2052.6%,84.8%,-10.3%,430.5
425,544.6%,45.2%,-10.4%,128.9
426,188.0%,23.6%,-15.9%,57.6
427,758.1%,53.7%,-12.8%,171.6
428,945.1%,59.9%,-10.3%,209.0
429,1523.3%,74.6%,-10.3%,324.7
430,1548.9%,75.2%,-10.3%,329.8
431,1201.9%,67.1%,-10.3%,260.4
432,888.4%,58.1%,-12.2%,197.7
433,599.1%,47.5%,-16.5%,139.8
434,409.6%,38.5%,-17.8%,101.9
435,1108.7%,64.6%,-22.2%,241.7
436,986.5%,61.1%,-12.3%,217.3
437,976.8%,60.9%,-19.5%,215.4
438,1010.1%,61.8%,-10.3%,222.0
439,437.9%,40.0%,-20.4%,107.6
440,794.4%,55.0%,-15.5%,178.9
441,815.2%,55.7%,-10.4%,183.0
442,1153.9%,65.8%,-18.0%,250.8
443,948.0%,60.0%,-13.2%,209.6
444,1008.7%,61.8%,-16.1%,221.7
445,543.9%,45.1%,-10.4%,128.8
446,465.6%,41.4%,-26.3%,113.1
447,1019.2%,62.1%,-10.3%,223.8
448,692.9%,51.3%,-10.3%,158.6
449,1558.3%,75.4%,-14.6%,331.7
450,318.6%,33.2%,-15.7%,83.7
451,789.9%,54.8%,-12.2%,178.0
452,409.9%,38.5%,-22.2%,102.0
453,382.9%,37.0%,-21.3%,96.6
454,1353.0%,70.8%,-10.3%,290.6
455,553.2%,45.6%,-35.2%,130.6
456,685.6%,51.0%,-13.2%,157.1
457,502.8%,43.2%,-16.7%,120.6
458,2353.2%,89.6%,-6.9%,490.6
459,572.3%,46.4%,-14.2%,134.5
460,876.0%,57.7%,-11.0%,195.2
461,702.3%,51.7%,-10.6%,160.5
462,532.5%,44.6%,-10.3%,126.5
463,428.9%,39.5%,-19.4%,105.8
464,430.3%,39.6%,-10.3%,106.1
465,985.6%,61.1%,-10.3%,217.1
466,558.5%,45.8%,-16.0%,131.7
467,755.4%,53.6%,-6.6%,171.1
468,649.3%,49.6%,-26.2%,149.9
469,1094.6%,64.2%,-16.5%,238.9
470,386.2%,37.2%,-12.2%,97.2
471,459.0%,41.1%,-26.6%,111.8
